ID,Start time,Completion time,Name,Email,Title of Project,"Project Authors (separated by commas): e.g. Jane Doe, John Smith",Project Authors UCL email addresses (separated by commas),"Class module code: e.g. COMP0016, COMP0067, COMP0102",Team number if known,Internal UCL CS Academic Supervisor Name(s): e.g. Dr Graham Roberts,Client Name (if it is an industry IXN project) or External Academic Supervisor Name (research project),"Client Organisation: e.g. Intel, GOSH, Microsoft, NHS England, IBM","Technologies Used (e.g. C#, Azure, Unity, TensorFlow)","Field Area Keywords: e.g. Healthcare, ML, Data Science",Abstract: Not more than 150 words,GitHub or other repository link if it is open source/public,Video presentation link if available (any videos produced during the terms),Project Website URL or URLs with development images/short video clips relating to the project if it is available.,Non-UCL email addresses if you wish to be contacted in the future by IXN partners because of your work.,University
1,5/21/2020 9:31:36,8/29/2020 9:31:36,Harry James Potter Test2,harryjamespotter@hogwarts.ac.uk,Face Recognition,"Bellatrix Lestrange, Rufus Scrimgeour, Harry James Potter",harryjamespotter@ucl.ac.uk,COMP0029,1,Denise Gorse,BenevolentAI,BenevolentAI,Theano,Computer Vision,"This is a project titled Face Recognition by Bellatrix Lestrange, Rufus Scrimgeour, Harry James Potter. It was supervised by Denise Gorse for BenevolentAI",www.github.com/NtdMrSgh,www.youtube.com/watch?v=1f2iawp0y5Y,www.ixnprojects.com/cLckYIcNqty,harryjamespotter@hogwarts.ac.uk,UCL
2,8/16/2020 9:32:43,11/24/2020 9:32:43,Ronald Bilius Weasley,ronaldbiliusweasley@hogwarts.ac.uk,Online auction system,"Dolores Jane Umbridge, Cornelius Oswald Fudge, Ronald Bilius Weasley",ronaldbiliusweasley@ucl.ac.uk,COMP0034,2,Yun Fu,Blockchain,Blockchain,Excel,Healthcare,"This is a project titled Online auction system by Dolores Jane Umbridge, Cornelius Oswald Fudge, Ronald Bilius Weasley. It was supervised by Yun Fu for Blockchain",www.github.com/ZnUUEIMb,www.youtube.com/watch?v=hsxukOPEdgg,www.ixnprojects.com/TPUnyghWqxA,ronaldbiliusweasley@hogwarts.ac.uk,Bristol
3,4/2/2020 8:31:58,7/11/2020 8:31:58,Hermione Jean Granger,hermionejeangranger@hogwarts.ac.uk,Evaluation of academic performance,"Horace Eugene Flaccus Slughorn, Barty Crouch Sr., Hermione Jean Granger",hermionejeangranger@ucl.ac.uk,COMP0049,3,Yun Fu,Darktrace,Darktrace,Torch,Healthcare,"This is a project titled Evaluation of academic performance by Horace Eugene Flaccus Slughorn, Barty Crouch Sr., Hermione Jean Granger. It was supervised by Yun Fu for Darktrace",www.github.com/bUjwLDaI,www.youtube.com/watch?v=17oCQakzIl8,www.ixnprojects.com/driyQkgUHBm,hermionejeangranger@hogwarts.ac.uk,St. Andrews
4,7/2/2020 9:29:50,10/10/2020 9:29:50,Albus Percival Wulfric Brian Dumbledore,albuspercivalwulfricbriandumbledore@hogwarts.ac.uk,e-Authentication system,"Lucius Malfoy, Amos Diggory, Albus Percival Wulfric Brian Dumbledore",albuspercivalwulfricbriandumbledore@ucl.ac.uk,COMP0025,4,Yun Fu,Deliveroo,Deliveroo,Scikit-learn,Computer Vision,"This is a project titled e-Authentication system by Lucius Malfoy, Amos Diggory, Albus Percival Wulfric Brian Dumbledore. It was supervised by Yun Fu for Deliveroo",www.github.com/oWJNTfvg,www.youtube.com/watch?v=0b_eHBZLM6U,www.ixnprojects.com/BcNNpvtgMFL,albuspercivalwulfricbriandumbledore@hogwarts.ac.uk,KCL
5,10/7/2019 8:51:32,1/15/2020 8:51:32,Rubeus Hagrid,rubeushagrid@hogwarts.ac.uk,Cursor movement on object motion,"Narcissa Malfoy, Dedalus Diggle, Rubeus Hagrid",rubeushagrid@ucl.ac.uk,COMP0027,5,Chris Clack,Elvie,Elvie,Tableau,Healthcare,"This is a project titled Cursor movement on object motion by Narcissa Malfoy, Dedalus Diggle, Rubeus Hagrid. It was supervised by Chris Clack for Elvie",www.github.com/qHdSmOWq,www.youtube.com/watch?v=R652nwUcJRA,www.ixnprojects.com/iyeCTzTnFCa,rubeushagrid@hogwarts.ac.uk,Imperial
6,8/5/2020 8:00:57,11/13/2020 8:00:57,Neville Longbottom,nevillelongbottom@hogwarts.ac.uk,Crime rate prediction,"Regulus Arcturus Black, Elphias Doge, Neville Longbottom",nevillelongbottom@ucl.ac.uk,COMP0048,6,Dean Mohammedally,Snyk,Snyk,Caffe,Computer Vision,"This is a project titled Crime rate prediction by Regulus Arcturus Black, Elphias Doge, Neville Longbottom. It was supervised by Dean Mohammedally for Snyk",www.github.com/DxOdUero,www.youtube.com/watch?v=MuxnH0VAkAM,www.ixnprojects.com/ubyDnILyAVn,nevillelongbottom@hogwarts.ac.uk,UCL
7,4/30/2020 9:28:17,8/8/2020 9:28:17,Fred Weasley,fredweasley@hogwarts.ac.uk,Android battery saver system,"Pansy Parkinson, Fleur Isabelle Delacour, Fred Weasley",fredweasley@ucl.ac.uk,COMP0034,7,Denise Gorse,Improbable,Improbable,Radial Basis Function Neural Network,Healthcare,"This is a project titled Android battery saver system by Pansy Parkinson, Fleur Isabelle Delacour, Fred Weasley. It was supervised by Denise Gorse for Improbable",www.github.com/ILnRgWiJ,www.youtube.com/watch?v=jZjmlJPJgug,www.ixnprojects.com/MGgHLDLwHdg,fredweasley@hogwarts.ac.uk,Bristol
8,3/23/2020 8:14:16,7/1/2020 8:14:16,George Weasley,georgeweasley@hogwarts.ac.uk,Symbol recognition,"Blaise Zabini, Aberforth Dumbledore, George Weasley",georgeweasley@ucl.ac.uk,COMP0055,8,Anthony Hunter,OakNorth Bank,OakNorth Bank,Radial Basis Function Neural Network,Robotics,"This is a project titled Symbol recognition by Blaise Zabini, Aberforth Dumbledore, George Weasley. It was supervised by Anthony Hunter for OakNorth Bank",www.github.com/SmgFzadD,www.youtube.com/watch?v=Wf4cea5oObY,www.ixnprojects.com/DBNXptXRUXz,georgeweasley@hogwarts.ac.uk,St. Andrews
9,9/26/2019 8:20:32,1/4/2020 8:20:32,Ginevra (Ginny) Molly Weasley,ginevra(ginny)mollyweasley@hogwarts.ac.uk,Wifi Based Secure Wireless Communication Using RSA,"Tom Marvolo Riddle, Mundungus Fletcher, Ginevra (Ginny) Molly Weasley",ginevra(ginny)mollyweasley@ucl.ac.uk,COMP0061,9,Chris Clack,NHS,NHS,Theano,Data Science,"The WiFi based secured wireless communication using RSA encryption allows us to communicate wirelessly with security feature. The data transfer during communication between two system is encrypted using RSA encryption which is highly secure.
The data can be decrypted with correct key only, otherwise it returns some garbage value. This is two way communication system where we can transmit as well as receive at both ends. We have used Atmega microcontroller interfaced with xbee along with LCD display to send message and key, also have USB keyboards connected to each system and powered by 12V supply.

After starting system, we will able to enter message on system. The maximum limit of message is 32 character. After that system asks for key, the key limit is 16character it can be number or alphabet. Entering key will send the encrypted message to other system. Then the other system ask key to view the message. If the users enter correct key the message gets decrypted otherwise it will show garbage value thus securing the wireless communication.",www.github.com/aCRsYzVc,www.youtube.com/watch?v=l-nEHkgm_Gk,www.ixnprojects.com/JKVqTuAZuus,ginevra(ginny)mollyweasley@hogwarts.ac.uk,KCL
10,3/6/2020 9:30:19,6/14/2020 9:30:19,Dean Thomas,deanthomas@hogwarts.ac.uk,Android Task Monitoring,"Theodore Nott, Sturgis Podmore, Dean Thomas",deanthomas@ucl.ac.uk,COMP0052,10,Denise Gorse,IBM,IBM,SAS,Architecture,"Modern day-to-day life of people in major cities is very demanding and the schedules are equally hectic. In such times, it is practically impossible to keep a track of all the activities/ appointments. Many a times, it happens that we may miss an important task; for example: taking medicines, attending a meeting, returning library books, paying the bills etc. And this cycle can keep going on endlessly. The human mind is not designed to multitask, it needs to work things out one at a time. This requires us to maintain our focus on the task at hand, and as a result other important things take a backstage and some may even slip out of our minds. In order to address this problem, we have come up with a Weekly Task Alerting System. This system is designed to alert the user of all the important tasks that are due on a specific day, every week. So now, the user can carry on with his/her life without any worries. The developed project is a tasks reminder app, with AI-powered Chatbot that will make user enjoy productivity. Whether your goal is to make good habits or get rid of bad ones. This application helps you to make sure that the tasks you set actually get done, with the help of its AI assistant. It monitors your android phone, pings you at times you’re likely to see a notification and makes sure you don’t forget about items on your to-do list. With this, which is one of the bot characters, this app brings you not only your tasks reminder but also a free productivity assistant that engages you throughout the day to create a more productive version of yourself.",www.github.com/qilysmWQ,www.youtube.com/watch?v=z4gBMw64aqk,www.ixnprojects.com/QYDKnnCcKXc,deanthomas@hogwarts.ac.uk,Imperial
